Name,pH00
Apple,5.0-6.5
Ash,6.0-7.5
Azalea,4.5-6.0
Basswood,6.0-7.5
Beautybush,6.0-7.5
Birch,5.0-6.5
Blackberry,5.0-6.0
Blueberry,4.0-6.0
Boxwood,6.0-7.5
Cherrysour,6.0-7.0
Chestnut,5.0-6.5
Crabapple,6.0-7.5
Dogwood,5.0-7.0
Elderbox,6.0-8.0
Firbalsam,5.0-6.0
FirDouglas,6.0-7.0
Hemlock,5.0-6.0
Hydrangeablue-flowered,4.0-5.0
Hydrangeapink-flowered,6.0-7.0
Juniper,5.0-6.0
Laurelmountain,4.5-6.0
Lemon,6.0-7.5
Lilac,6.0-7.5
Maplesugar,6.0-7.5
Oakwhite,5.0-6.5
Orange,6.0-7.5
Peach,6.0-7.0
Pear,6.0-7.5
Pecan,6.4-8.0
Pinered,5.0-6.0
Pinewhite,4.5-6.0
Plum,6.0-8.0
Raspberryred,5.5-7.0
Rhododendron,4.5-6.0
Spruce,5.0-6.0
Walnutblack,6.0-8.0
Willow,6.0-8.0
Asparagus,6.0-8.0
Beanpole,6.0-7.5
Beet,6.0-7.5
Broccoli,6.0-7.0
Brusselssprout,6.0-7.5
Cabbage,6.0-7.0
Carrot,5.5-7.0
Cauliflower,5.5-7.5
Celery,5.8-7.0
Chive,6.0-7.0
Cucumber,5.5-7.0
Garlic,5.5-8.0
Kale,6.0-7.5
Lettuce,6.0-7.0
Peasweet,6.0-7.5
Peppersweet,5.5-7.0
Potato,4.8-6.5
Pumpkin,5.5-7.5
Radish,6.0-7.0
Spinach,6.0-7.5
Squashcrookneck,6.0-7.5
SquashHubbard,5.5-7.0
Tomato,5.5-7.5
Beans,6.0-7.5
Beet Root,6.0-7.5
Brusselssprout,6.0-7.5
Cabbage,6.0-7.5
Carrot,5.5-7.0
Cauliflower,5.5-7.5
Celery,5.8-7.0
Coriander,5.8-7.0
Chives,6.0-7.0
Cucumber,5.5-7.0
Garlic,5.5-8.0
Lettuce ,6.0-7.0
Peas,6.0-7.5
Capsicum,5.5-7.0
Corn,5.8-7.5
Forage Crops,5.8-7.5
Sugarcane,5.0-8.5
Guava,5.0-7.5
Mango,5.5-7.5
Papaya,5.5-7.5
Spinach,6.0-7.5
Squash,5.5-7.5
Chilli,5.5-7.0
Soybeans,6.5-7.5
Wheat,6.3-7.0
Paddy,5.5-7.5
Cucumber,6.0-7.0
Muskmelons,6.0-7.5
Marigold,6.0-7.5
Watermelon,6.0-7.5
Sunflower,6.0-7.5
Groundnut,6.5-7.0
Pomegranate,5.5-8.5
Moringa,6.5-8.0
Grapes,6.0-8.0
